word,lexicon
a,STAD
á,STAD
acu,STAD
ag,STAD
agaibh,STAD
againn,STAD
agam,STAD
agat,STAD
agus,STAD
aici,STAD
aige,STAD
air,STAD
aisti,STAD
an,STAD
ann,STAD
ar,STAD
ár,STAD
as,STAD
as,STAD
asaibh,STAD
asainn,STAD
asam,STAD
asat,STAD
astu,STAD
beidh,STAD
bheidh,STAD
bhfuil,STAD
bhí,STAD
bhur,STAD
bí,STAD
bíonn,STAD
chucu,STAD
chugaibh,STAD
chugainn,STAD
chugam,STAD
chugat,STAD
chuici,STAD
chuig,STAD
chuige,STAD
chun,STAD
daoibh,STAD
dar,STAD
de,STAD
de,STAD
den,STAD
di,STAD
dí,STAD
díbh,STAD
dínn,STAD
díobh,STAD
díom,STAD
díot,STAD
do,STAD
do,STAD
dó,STAD
dóibh,STAD
dom,STAD
don,STAD
dúinn,STAD
duit,STAD
é,STAD
eadraibh,STAD
eadrainn,STAD
eatarthu,STAD
faoi,STAD
faoi,STAD
fúibh,STAD
fúinn,STAD
fúithi,STAD
fúm,STAD
fút,STAD
fúthu,STAD
gan,STAD
go,STAD
i,STAD
í,STAD
iad,STAD
idir,STAD
in,STAD
ina,STAD
inti,STAD
ionaibh,STAD
ionainn,STAD
ionam,STAD
ionat,STAD
iontu,STAD
is,STAD
le,STAD
leat,STAD
léi,STAD
leis,STAD
leo,STAD
libh,STAD
linn,STAD
liom,STAD
mar,STAD
mé,STAD
mise,STAD
mo,STAD
muid,STAD
na,STAD
ná,STAD
nach,STAD
ní,STAD
níl,STAD
nó,STAD
ó,STAD
ón,STAD
oraibh,STAD
orainn,STAD
orm,STAD
ort,STAD
orthu,STAD
os,STAD
raibh,STAD
roimh,STAD
roimhe,STAD
roimpi,STAD
romhaibh,STAD
romhainn,STAD
romham,STAD
romhat,STAD
rompu,STAD
sa,STAD
sé,STAD
seachas,STAD
seisean,STAD
seo,STAD
sí,STAD
siad,STAD
sibh,STAD
sin,STAD
sise,STAD
tá,STAD
thairis,STAD
thairti,STAD
thar,STAD
tharaibh,STAD
tharainn,STAD
tharam,STAD
tharat,STAD
thartu,STAD
timpeall,STAD
trasna,STAD
trí,STAD
tríbh,STAD
tríd,STAD
trínn,STAD
tríom,STAD
tríot,STAD
tríothu,STAD
tríthi,STAD
tú,STAD
tusa,STAD
uaibh,STAD
uaidh,STAD
uaim,STAD
uainn,STAD
uait,STAD
uaithi,STAD
uathu,STAD
uirthi,STAD
um,STAD